date,open,high,low,close,volume
2024-12-30,0.859,0.9048,0.8296,0.8615,168318692.6
2024-12-31,0.8616,0.8791,0.8397,0.8451,107355712.5
2025-01-01,0.845,0.9355,0.838,0.9222,171861317.3
2025-01-02,0.9222,0.9828,0.9222,0.9612,194982188.5
2025-01-03,0.9612,1.1194,0.9569,1.0894,388427400.9
2025-01-04,1.0894,1.1144,1.0565,1.0707,168969002.6
2025-01-05,1.0707,1.115,1.0521,1.0911,171630835.3
2025-01-06,1.0911,1.1162,1.0575,1.0934,181395918.9
2025-01-07,1.0934,1.1519,0.988,0.9892,365562839.2
2025-01-08,0.9893,1.0242,0.9079,0.9468,369801375.9
2025-01-09,0.9467,0.9604,0.8798,0.9045,239358339.9
2025-01-10,0.9045,0.974,0.904,0.9303,208259628.3
2025-01-11,0.9303,1.0176,0.9134,0.9955,146491610.6
2025-01-12,0.9955,1.0369,0.9613,0.9677,196542136.0
2025-01-13,0.9676,0.9938,0.8758,0.9444,288677979.1
2025-01-14,0.9444,1.0109,0.938,0.9972,187168513.0
2025-01-15,0.9972,1.09,0.9879,1.0755,384217805.3
2025-01-16,1.0755,1.145,1.0273,1.0892,383249639.4
2025-01-17,1.0893,1.1662,1.0854,1.133,276530914.4
2025-01-18,1.1331,1.1466,1.0482,1.1045,256781980.9
2025-01-19,1.1044,1.152,0.9636,0.993,560820593.6
2025-01-20,0.993,1.1014,0.9594,1.0094,464297968.4
2025-01-21,1.0095,1.0288,0.9508,1.0058,303337850.2
2025-01-22,1.0059,1.0199,0.9759,0.9827,147886319.8
2025-01-23,0.9827,1.0118,0.9512,0.9867,192569354.5
2025-01-24,0.9867,1.01,0.9636,0.9712,124426928.3
2025-01-25,0.9712,0.9919,0.9642,0.9766,56721656.8
2025-01-26,0.9766,1.0003,0.9515,0.953,73197919.3
2025-01-27,0.953,0.9587,0.8568,0.9345,257950415.8
2025-01-28,0.9346,0.9684,0.9031,0.9169,124707222.9
2025-01-29,0.9168,0.9603,0.9018,0.9399,135142289.7
2025-01-30,0.9398,0.9886,0.9363,0.9595,86721138.9
2025-01-31,0.9595,0.9837,0.9347,0.9429,113818765.2
2025-02-01,0.9428,0.9576,0.8875,0.8948,88384785.8
2025-02-02,0.8947,0.9113,0.7513,0.8052,340523726.6
2025-02-03,0.8051,0.8245,0.506,0.812,1336951229.5
2025-02-04,0.8121,0.8198,0.715,0.7439,336202720.8
2025-02-05,0.744,0.7764,0.7251,0.7325,174717874.3
2025-02-06,0.7325,0.766,0.6978,0.7052,187578647.3
2025-02-07,0.7052,0.7532,0.6902,0.7072,206190185.9
2025-02-08,0.7072,0.718,0.6815,0.7005,106440011.1
2025-02-09,0.7006,0.716,0.6503,0.6814,145972643.5
2025-02-10,0.6815,0.7245,0.6632,0.7121,168781925.4
2025-02-11,0.7121,0.8213,0.7101,0.7781,364029512.7
2025-02-12,0.7782,0.8079,0.7448,0.7997,271335009.3
2025-02-13,0.7998,0.8309,0.7693,0.8107,148408733.0
2025-02-14,0.8107,0.8293,0.7891,0.7998,144880343.5
2025-02-15,0.7997,0.8141,0.7745,0.7811,72649439.8
2025-02-16,0.7811,0.7893,0.7615,0.7714,62651373.5
2025-02-17,0.7714,0.8291,0.7705,0.8089,193681003.3
2025-02-18,0.8089,0.814,0.7351,0.7541,173068755.8
2025-02-19,0.7542,0.7761,0.7328,0.7738,118560241.8
2025-02-20,0.7737,0.8111,0.7703,0.8036,123013598.3
2025-02-21,0.8036,0.8187,0.7501,0.7621,176129521.6
2025-02-22,0.7622,0.7845,0.7571,0.7734,70048824.6
2025-02-23,0.7733,0.7883,0.7596,0.7697,68066469.6
2025-02-24,0.7698,0.7774,0.67,0.6816,187852768.2
2025-02-25,0.6816,0.695,0.6302,0.6832,314619948.7
2025-02-26,0.6832,0.6954,0.6312,0.6474,188683060.2
2025-02-27,0.6475,0.6798,0.6263,0.6451,119338095.8
2025-02-28,0.6451,0.6466,0.5801,0.6328,258110432.8
2025-03-01,0.6328,0.677,0.6252,0.6593,101845318.3
2025-03-02,0.6593,1.1488,0.645,1.135,1462027409.9
2025-03-03,1.1349,1.1747,0.8228,0.8578,1410346466.6
2025-03-04,0.8577,0.9562,0.7576,0.9409,1103033777.6
2025-03-05,0.9409,1.0278,0.9136,0.9741,684542897.2
2025-03-06,0.9741,0.9886,0.8854,0.9065,426709138.1
2025-03-07,0.9065,0.9206,0.8064,0.8181,789791963.0
2025-03-08,0.818,0.8392,0.7931,0.8052,195763913.6
2025-03-09,0.8052,0.8176,0.709,0.7215,341584369.9
2025-03-10,0.7216,0.7786,0.6582,0.6712,452130529.1
2025-03-11,0.6711,0.7444,0.6471,0.7241,418368477.7
2025-03-12,0.724,0.77,0.7111,0.736,272406998.1
2025-03-13,0.736,0.742,0.6909,0.703,264883435.2
2025-03-14,0.703,0.7514,0.6963,0.7373,200723012.3
2025-03-15,0.7372,0.7594,0.7309,0.7468,134638523.2
2025-03-16,0.7468,0.7473,0.6936,0.7049,166304049.4
2025-03-17,0.7049,0.732,0.7024,0.7175,124793194.3
2025-03-18,0.7175,0.7184,0.6816,0.7017,124187049.1
2025-03-19,0.7017,0.747,0.7003,0.7436,203333627.3
2025-03-20,0.7436,0.7554,0.712,0.718,163787969.9
2025-03-21,0.7179,0.7277,0.7006,0.705,99337577.7
2025-03-22,0.705,0.7161,0.6971,0.7014,58014666.0
2025-03-23,0.7015,0.716,0.6917,0.7107,83791747.2
2025-03-24,0.7106,0.7452,0.7055,0.732,164891536.5
2025-03-25,0.732,0.7666,0.7209,0.7448,191707229.1
2025-03-26,0.7447,0.7744,0.7197,0.7287,166873889.6
2025-03-27,0.7288,0.7444,0.7209,0.7381,78374162.9
2025-03-28,0.7381,0.7465,0.6895,0.7062,140942745.6
2025-03-29,0.7062,0.7122,0.6588,0.6732,104353465.2
2025-03-30,0.6733,0.6877,0.6512,0.6612,73774230.6
2025-03-31,0.6613,0.6655,0.6296,0.6618,126559978.9
2025-04-01,0.6618,0.6949,0.6577,0.677,106364321.5
2025-04-02,0.6771,0.7098,0.6348,0.64,168146368.6
2025-04-03,0.64,0.6576,0.613,0.6508,114219073.8
2025-04-04,0.6509,0.6717,0.6275,0.6603,126446033.5
2025-04-05,0.6603,0.6675,0.6448,0.6547,43762918.6
2025-04-06,0.6547,0.6553,0.5597,0.5737,166216469.9
2025-04-07,0.5737,0.6055,0.511,0.5864,419069987.9
2025-04-08,0.5863,0.6201,0.5528,0.5583,238977888.4
2025-04-09,0.5583,0.6464,0.5366,0.6315,327515064.6
2025-04-10,0.6315,0.6338,0.5857,0.6094,159599767.0
2025-04-11,0.6094,0.645,0.6059,0.6239,152727364.8
2025-04-12,0.6239,0.6675,0.617,0.6595,115874420.3
2025-04-13,0.6596,0.6687,0.6301,0.6383,104410716.6
2025-04-14,0.6383,0.6575,0.6277,0.6353,117699773.5
2025-04-15,0.6353,0.6486,0.607,0.6091,143898856.8
2025-04-16,0.609,0.6245,0.5946,0.6105,126774167.2
2025-04-17,0.6106,0.6299,0.6088,0.6167,70142773.4
2025-04-18,0.6169,0.632,0.6104,0.6275,55674804.9
2025-04-19,0.6276,0.6349,0.6191,0.6282,42619558.8
2025-04-20,0.6282,0.6348,0.6095,0.6202,50246835.4
2025-04-21,0.6203,0.6507,0.6159,0.6242,113722683.3
2025-04-22,0.6241,0.685,0.6153,0.6794,143341355.5
2025-04-23,0.6794,0.7183,0.6774,0.6977,159614226.0
2025-04-24,0.6978,0.746,0.6701,0.7219,171690319.8
2025-04-25,0.722,0.7331,0.7019,0.7135,150864406.0
2025-04-26,0.7135,0.7344,0.6996,0.707,98567156.4
2025-04-27,0.707,0.7185,0.6907,0.7032,82135355.9
2025-04-28,0.7033,0.729,0.6821,0.7056,148303185.8
2025-04-29,0.7057,0.7181,0.6888,0.6958,144681664.2
2025-04-30,0.6957,0.7037,0.6647,0.6816,97477142.0
2025-05-01,0.6816,0.7146,0.6814,0.705,85930672.3
2025-05-02,0.705,0.7255,0.6888,0.6981,99617178.4
2025-05-03,0.6982,0.7297,0.6917,0.6995,125664048.1
2025-05-04,0.6995,0.7147,0.6718,0.6762,113830422.1
2025-05-05,0.6762,0.692,0.6541,0.6622,115627149.0
2025-05-06,0.6621,0.6807,0.6426,0.6789,81419623.3
2025-05-07,0.6789,0.6892,0.655,0.6715,89497926.6
2025-05-08,0.6716,0.771,0.67,0.7693,238990032.9
2025-05-09,0.7694,0.818,0.7532,0.7774,223733227.0
2025-05-10,0.7773,0.8435,0.7704,0.8406,177651038.9
2025-05-11,0.8406,0.8466,0.7813,0.8053,131407953.5
2025-05-12,0.8054,0.8643,0.7802,0.817,250186987.8
2025-05-13,0.8169,0.8419,0.7716,0.8299,170776720.3
2025-05-14,0.83,0.8337,0.7887,0.7986,137228841.5
2025-05-15,0.7987,0.8102,0.7445,0.7624,181474078.9
2025-05-16,0.7624,0.7859,0.7505,0.7588,89428901.1
2025-05-17,0.7588,0.7814,0.7267,0.7427,127369154.9
2025-05-18,0.7428,0.7664,0.7355,0.7627,41349813.9
