date,open,high,low,close,volume
2024-12-29,0.5052,0.523,0.4778,0.4832,21211005.0
2024-12-30,0.4832,0.5012,0.4588,0.4787,13871174.0
2024-12-31,0.4786,0.4914,0.4616,0.467,10610412.0
2025-01-01,0.4669,0.5039,0.4563,0.4969,12566824.0
2025-01-02,0.4972,0.5165,0.4972,0.5079,20382242.0
2025-01-03,0.508,0.5616,0.5013,0.5559,27166220.0
2025-01-04,0.5559,0.5667,0.5414,0.5497,15786629.0
2025-01-05,0.5498,0.5541,0.5338,0.5473,9846597.0
2025-01-06,0.5477,0.5994,0.542,0.576,32415199.0
2025-01-07,0.576,0.5769,0.512,0.5125,22381704.0
2025-01-08,0.5125,0.5206,0.4653,0.489,20236465.0
2025-01-09,0.4889,0.5095,0.4778,0.4941,18125830.0
2025-01-10,0.4941,0.5084,0.4852,0.5032,17132306.0
2025-01-11,0.5031,0.5091,0.4858,0.4978,8115935.0
2025-01-12,0.4984,0.5016,0.4735,0.4806,8009951.0
2025-01-13,0.4807,0.4971,0.4395,0.4753,20137780.0
2025-01-14,0.4755,0.4995,0.4724,0.497,8525306.0
2025-01-15,0.4975,0.5371,0.4889,0.5356,19412979.0
2025-01-16,0.5354,0.5364,0.5095,0.5195,16097573.0
2025-01-17,0.5197,0.5728,0.5192,0.5614,24996479.0
2025-01-18,0.5613,0.57,0.5097,0.5213,18741114.0
2025-01-19,0.5211,0.54,0.4537,0.4627,39908665.0
2025-01-20,0.4626,0.5167,0.4465,0.4815,37083743.0
2025-01-21,0.4809,0.5124,0.4596,0.4967,12871368.0
2025-01-22,0.4966,0.4987,0.4752,0.4774,8711585.0
2025-01-23,0.4774,0.4902,0.4632,0.4798,13910113.0
2025-01-24,0.4798,0.4934,0.4633,0.4717,9192973.0
2025-01-25,0.4717,0.4801,0.4644,0.4739,4827605.0
2025-01-26,0.4739,0.4835,0.4542,0.455,6025995.0
2025-01-27,0.4551,0.457,0.4129,0.4495,22779243.0
2025-01-28,0.4495,0.454,0.413,0.4164,9264598.0
2025-01-29,0.4164,0.4438,0.415,0.4282,12892683.0
2025-01-30,0.4282,0.4552,0.4246,0.4481,8177481.0
2025-01-31,0.4482,0.4659,0.4386,0.4481,9079370.0
2025-02-01,0.4482,0.4542,0.4093,0.4122,7912800.0
2025-02-02,0.4122,0.4224,0.3358,0.3561,33456428.0
2025-02-03,0.3563,0.3563,0.2569,0.3525,81263217.0
2025-02-04,0.3525,0.3572,0.3139,0.3284,26651488.0
2025-02-05,0.3283,0.3434,0.3228,0.327,15561764.0
2025-02-06,0.3271,0.3339,0.3055,0.3097,17479541.0
2025-02-07,0.3097,0.3344,0.3042,0.3141,15442762.0
2025-02-08,0.3142,0.3254,0.308,0.3237,7781662.0
2025-02-09,0.3236,0.3342,0.3022,0.3164,9758290.0
2025-02-10,0.3163,0.3333,0.3046,0.3325,13937710.0
2025-02-11,0.3323,0.3509,0.3203,0.325,10128378.0
2025-02-12,0.3251,0.3456,0.3121,0.34,14111940.0
2025-02-13,0.3401,0.3419,0.3226,0.3291,11059854.0
2025-02-14,0.3293,0.3485,0.3289,0.3389,7304749.0
2025-02-15,0.339,0.3425,0.3243,0.3287,4709686.0
2025-02-16,0.3287,0.3401,0.3244,0.3294,7194285.0
2025-02-17,0.3289,0.3431,0.3229,0.3292,10794499.0
2025-02-18,0.329,0.3313,0.3045,0.3139,9393103.0
2025-02-19,0.314,0.3227,0.3081,0.3185,6278110.0
2025-02-20,0.3184,0.3282,0.3159,0.3276,6033516.0
2025-02-21,0.3277,0.3469,0.3087,0.3109,21124581.0
2025-02-22,0.3109,0.3236,0.3081,0.3187,11902545.0
2025-02-23,0.3188,0.3215,0.3097,0.3155,6787380.0
2025-02-24,0.3156,0.3172,0.2768,0.2832,21105686.0
2025-02-25,0.2835,0.2931,0.2647,0.2866,22753436.0
2025-02-26,0.2868,0.2931,0.2743,0.2886,14879792.0
2025-02-27,0.2887,0.3016,0.2851,0.2956,9993542.0
2025-02-28,0.2956,0.2987,0.2681,0.2959,22302728.0
2025-03-01,0.2962,0.2981,0.2815,0.2944,7894753.0
2025-03-02,0.2944,0.3236,0.2867,0.3187,21782930.0
2025-03-03,0.3187,0.3238,0.268,0.2726,23214824.0
2025-03-04,0.2725,0.2818,0.2546,0.2766,23538337.0
2025-03-05,0.2765,0.2965,0.2723,0.2906,10965024.0
2025-03-06,0.2906,0.2986,0.2765,0.2811,9324063.0
2025-03-07,0.2811,0.3012,0.2676,0.2885,22733025.0
2025-03-08,0.2884,0.2979,0.2748,0.2767,11894670.0
2025-03-09,0.2768,0.2789,0.2525,0.2575,13046946.0
2025-03-10,0.2576,0.275,0.2465,0.2473,18518881.0
2025-03-11,0.2473,0.267,0.2323,0.2617,19031364.0
2025-03-12,0.2617,0.285,0.2562,0.2707,25366218.0
2025-03-13,0.2705,0.2738,0.2585,0.2714,12007102.0
2025-03-14,0.2717,0.2798,0.2702,0.2733,8744966.0
2025-03-15,0.2733,0.2777,0.269,0.2769,5518706.0
2025-03-16,0.2768,0.2779,0.2539,0.2558,9567024.0
2025-03-17,0.2561,0.2806,0.256,0.2765,12230086.0
2025-03-18,0.2765,0.2772,0.2587,0.2696,13323982.0
2025-03-19,0.2695,0.2792,0.2675,0.2777,14607937.0
2025-03-20,0.2778,0.2795,0.2663,0.269,7260036.0
2025-03-21,0.2691,0.2739,0.2586,0.2615,9211600.0
2025-03-22,0.2616,0.2677,0.2601,0.2623,4041885.0
2025-03-23,0.2622,0.2675,0.2589,0.2649,5085706.0
2025-03-24,0.2647,0.2915,0.2616,0.2796,18078466.0
2025-03-25,0.2795,0.2833,0.2755,0.2826,7814625.0
2025-03-26,0.2827,0.2909,0.2784,0.2811,11944341.0
2025-03-27,0.2811,0.2881,0.2735,0.2829,7722041.0
2025-03-28,0.283,0.2859,0.2532,0.2574,11806834.0
2025-03-29,0.2575,0.2584,0.2388,0.2448,10101333.0
2025-03-30,0.2446,0.2513,0.2415,0.2471,5089173.0
2025-03-31,0.2473,0.2522,0.2383,0.2443,9091594.0
2025-04-01,0.2443,0.26,0.2427,0.2561,7601071.0
2025-04-02,0.2556,0.2582,0.2316,0.2357,14312410.0
2025-04-03,0.2358,0.2444,0.2276,0.2404,7893067.0
2025-04-04,0.2406,0.2453,0.2321,0.2425,7234256.0
2025-04-05,0.2426,0.2472,0.2396,0.2453,3703633.0
2025-04-06,0.2453,0.2455,0.2072,0.2114,13578672.0
2025-04-07,0.2114,0.2228,0.1904,0.2127,24062839.0
2025-04-08,0.2128,0.2191,0.2032,0.2058,11117582.0
2025-04-09,0.2059,0.232,0.1989,0.228,13980098.0
2025-04-10,0.2281,0.2432,0.2237,0.2406,28212102.0
2025-04-11,0.2406,0.2551,0.2364,0.2504,18851386.0
2025-04-12,0.2503,0.2693,0.2461,0.2692,10481511.0
2025-04-13,0.269,0.2712,0.2573,0.268,13931015.0
2025-04-14,0.268,0.3,0.2665,0.2759,35429306.0
2025-04-15,0.276,0.2784,0.2672,0.2686,9227160.0
2025-04-16,0.2686,0.275,0.2608,0.2663,8424876.0
2025-04-17,0.2661,0.2757,0.2627,0.2672,6600313.0
2025-04-18,0.2672,0.2902,0.2652,0.2737,12665662.0
2025-04-19,0.2736,0.2869,0.2734,0.2818,6256456.0
2025-04-20,0.2818,0.296,0.2739,0.2859,10919235.0
2025-04-21,0.286,0.338,0.286,0.3024,39739748.0
2025-04-22,0.3026,0.3153,0.2939,0.3114,17128258.0
2025-04-23,0.3114,0.3213,0.3027,0.3148,16678446.0
2025-04-24,0.3146,0.3277,0.2994,0.324,20113296.0
2025-04-25,0.3239,0.3373,0.318,0.3293,19395526.0
2025-04-26,0.3294,0.3398,0.3196,0.3266,7302189.0
2025-04-27,0.3265,0.3329,0.3051,0.3067,9972519.0
2025-04-28,0.3069,0.3229,0.3002,0.3194,11895613.0
2025-04-29,0.3196,0.3316,0.305,0.308,9712457.0
2025-04-30,0.3082,0.3208,0.3024,0.3158,9968848.0
2025-05-01,0.3158,0.3238,0.3104,0.3157,6243865.0
2025-05-02,0.3156,0.3229,0.3124,0.3168,8197527.0
2025-05-03,0.3169,0.3192,0.2945,0.3001,6064223.0
2025-05-04,0.3,0.3035,0.2873,0.2912,5380260.0
2025-05-05,0.2911,0.3026,0.2884,0.2982,7561070.0
2025-05-06,0.2981,0.3034,0.2796,0.2919,8866478.0
2025-05-07,0.2919,0.2996,0.2884,0.2983,7345986.0
2025-05-08,0.2983,0.3369,0.2983,0.3316,14021062.0
2025-05-09,0.3316,0.3536,0.3306,0.3525,16047596.0
2025-05-10,0.3527,0.3855,0.3489,0.3843,15330212.0
2025-05-11,0.3843,0.3885,0.3588,0.3666,11985408.0
2025-05-12,0.3665,0.3819,0.3471,0.3671,18060633.0
2025-05-13,0.3672,0.3799,0.3473,0.3764,13369271.0
2025-05-14,0.3764,0.4045,0.3566,0.3592,20456360.0
2025-05-15,0.3591,0.3628,0.3339,0.3412,12426460.0
2025-05-16,0.3413,0.3521,0.3335,0.3361,7460204.0
2025-05-17,0.336,0.3367,0.3213,0.3259,6235607.0
2025-05-18,0.326,0.3383,0.323,0.3356,3850644.0
